OpenCTD,,,,,,,,Commercial CTD,,,,
Raw Data,,,,,Processed Data,,,Raw Data,,,Processed Data,
Temp 1,Temp 2,Temp 3,Pressure,,Depth (m),Temp C,,Depth (m),Temp C,,Depth (m),Temp Temp C
6.5,6.81,6.5,3850.1,,28.82,5.7,,2.811,11.7242,,2.81,11.72
6.5,6.81,6.56,3851.3,,28.83,5.72,,2.801,11.7238,,2.8,11.72
6.5,6.81,6.5,3852.2,,28.84,5.7,,2.821,11.7238,,2.82,11.72
6.5,6.81,6.56,3850.8,,28.82,5.72,,2.832,11.7238,,2.83,11.72
6.5,6.81,6.56,3850.7,,28.82,5.72,,2.832,11.7241,,2.83,11.72
6.5,6.81,6.56,3850.8,,28.82,5.72,,2.851,11.7246,,2.85,11.72
6.5,6.81,6.56,3850.4,,28.82,5.72,,2.841,11.7249,,2.84,11.72
6.5,6.81,6.56,3850.8,,28.82,5.72,,2.862,11.7251,,2.86,11.73
6.5,6.81,6.56,3851.9,,28.83,5.72,,2.862,11.7249,,2.86,11.72
6.56,6.81,6.56,3852.9,,28.85,5.74,,2.881,11.7248,,2.88,11.72
6.56,6.81,6.56,3851.5,,28.83,5.74,,2.891,11.7244,,2.89,11.72
6.5,6.81,6.56,3850,,28.82,5.72,,2.891,11.7241,,2.89,11.72
6.5,6.81,6.56,3849,,28.81,5.72,,2.902,11.7242,,2.9,11.72
6.5,6.81,6.56,3850.8,,28.82,5.72,,2.902,11.7238,,2.9,11.72
6.56,6.81,6.56,3851.1,,28.83,5.74,,2.921,11.7238,,2.92,11.72
6.56,6.81,6.56,3851,,28.83,5.74,,2.932,11.7238,,2.93,11.72
6.56,6.81,6.56,3851,,28.83,5.74,,2.932,11.7239,,2.93,11.72
6.56,6.81,6.56,3851.1,,28.83,5.74,,2.942,11.7239,,2.94,11.72
6.5,6.81,6.56,3851.2,,28.83,5.72,,2.951,11.7236,,2.95,11.72
6.56,6.81,6.56,3851.1,,28.83,5.74,,2.962,11.7232,,2.96,11.72
6.56,6.81,6.56,3851.2,,28.83,5.74,,2.972,11.7231,,2.97,11.72
6.56,6.81,6.56,3852.3,,28.84,5.74,,2.981,11.7232,,2.98,11.72
6.5,6.81,6.56,3851.4,,28.83,5.72,,2.991,11.7219,,2.99,11.72
6.56,6.81,6.56,3851.6,,28.83,5.74,,3.002,11.7221,,3,11.72
6.56,6.81,6.56,3850.3,,28.82,5.74,,3.012,11.7232,,3.01,11.72
6.56,6.81,6.56,3850.1,,28.82,5.74,,3.012,11.7241,,3.01,11.72
