OpenCTD,,,,,,Commercial CTD,,,,
Raw Data,,,,Processed Data,,Raw Data,,Processed Data,,
Temp 1,Temp 2,Temp 3,Pressure,Depth (m),Temp C,Depth (m),Temp C,Depth (m),Temp C,
13.75,13.38,14.31,1094.6,0.73,13.21,0.608,12.5116,0.61,12.51,
13.75,13.38,14.31,1092.3,0.7,13.21,0.609,12.5112,0.61,12.51,
13.69,13.38,14.31,1073.5,0.51,13.19,0.598,12.5112,0.6,12.51,
13.69,13.38,14.25,1100.2,0.78,13.17,0.609,12.5109,0.61,12.51,
13.63,13.31,14.25,1083.5,0.61,13.13,0.598,12.5112,0.6,12.51,
13.63,13.31,14.25,1087.9,0.66,13.13,0.599,12.5112,0.6,12.51,
13.56,13.25,14.19,1095.7,0.74,13.07,0.587,12.509,0.59,12.51,
13.56,13.25,14.19,1084.6,0.63,13.07,0.588,12.5068,0.59,12.51,
13.63,13.25,14.19,1091.2,0.69,13.09,0.587,12.5059,0.59,12.51,
13.56,13.25,14.19,1087.9,0.66,13.07,0.579,12.5052,0.58,12.51,
13.63,13.25,14.19,1091.2,0.69,13.09,0.577,12.5049,0.58,12.5,
13.63,13.25,14.19,1091.2,0.69,13.09,0.579,12.5055,0.58,12.51,
13.63,13.19,14.19,1085.7,0.64,13.07,0.577,12.5055,0.58,12.51,
13.63,13.25,14.19,1096.8,0.75,13.09,0.569,12.5059,0.57,12.51,
13.56,13.25,14.19,1084.5,0.62,13.07,0.568,12.5064,0.57,12.51,
13.56,13.25,14.19,1081.2,0.59,13.07,0.579,12.5075,0.58,12.51,
13.56,13.25,14.13,1103.4,0.82,13.05,0.568,12.5084,0.57,12.51,
13.56,13.25,14.13,1077.9,0.56,13.05,0.569,12.5082,0.57,12.51,
13.56,13.19,14.13,1091.2,0.69,13.03,0.577,12.5074,0.58,12.51,
13.5,13.19,14.06,1093.4,0.72,12.98,0.569,12.507,0.57,12.51,
13.5,13.19,14.06,1083.4,0.61,12.98,0.577,12.5065,0.58,12.51,
13.5,13.19,14,1095.6,0.74,12.96,0.579,12.5047,0.58,12.5,
13.44,13.13,14,1081.2,0.59,12.92,0.587,12.5045,0.59,12.5,
13.44,13.13,14,1096.7,0.75,12.92,0.588,12.5056,0.59,12.51,
13.44,13.13,14,1093.4,0.72,12.92,0.588,12.5059,0.59,12.51,
13.38,13.13,13.94,1082.3,0.6,12.88,0.598,12.5057,0.6,12.51,
13.38,13.13,13.94,1090.1,0.68,12.88,0.599,12.5047,0.6,12.5,
13.38,13.13,14,1094.5,0.73,12.9,0.617,12.5041,0.62,12.5,
13.44,13.13,14,1083.4,0.61,12.92,0.609,12.5025,0.61,12.5,
13.44,13.13,13.94,1090.1,0.68,12.9,0.627,12.5003,0.63,12.5,
13.38,13.13,13.94,1091.2,0.69,12.88,0.63,12.4985,0.63,12.5,
13.38,13.13,13.94,1085.6,0.64,12.88,0.627,12.497,0.63,12.5,
13.44,13.13,13.94,1092.3,0.7,12.9,0.639,12.497,0.64,12.5,
13.44,13.13,13.94,1090,0.68,12.9,0.647,12.4975,0.65,12.5,
13.44,13.13,13.94,1086.7,0.65,12.9,0.649,12.4958,0.65,12.5,
13.44,13.13,13.94,1088.9,0.67,12.9,0.657,12.4943,0.66,12.49,
13.44,13.13,14,1094.5,0.73,12.92,0.649,12.4936,0.65,12.49,
13.44,13.13,14,1084.5,0.62,12.92,0.657,12.4947,0.66,12.49,
13.44,13.13,14,1090,0.68,12.92,0.66,12.4961,0.66,12.5,
13.44,13.13,14,1094.5,0.73,12.92,0.657,12.4975,0.66,12.5,
13.44,13.13,14,1078.9,0.57,12.92,0.669,12.4992,0.67,12.5,
13.44,13.13,13.94,1095.6,0.74,12.9,0.657,12.5007,0.66,12.5,
13.44,13.13,13.94,1090,0.68,12.9,0.66,12.5007,0.66,12.5,
13.38,13.13,13.94,1081.2,0.59,12.88,0.649,12.4995,0.65,12.5,
13.38,13.13,13.94,1097.8,0.76,12.88,0.647,12.499,0.65,12.5,
13.38,13.13,13.94,1085.6,0.64,12.88,0.66,12.4993,0.66,12.5,
13.38,13.13,13.94,1088.9,0.67,12.88,0.638,12.4995,0.64,12.5,
13.38,13.06,13.94,1090,0.68,12.86,0.649,12.4988,0.65,12.5,
13.38,13.06,13.94,1091.1,0.69,12.86,0.638,12.499,0.64,12.5,
13.38,13.06,13.94,1086.7,0.65,12.86,0.63,12.4992,0.63,12.5,
13.38,13.13,13.94,1091.1,0.69,12.88,0.627,12.4995,0.63,12.5,
13.38,13.13,13.94,1088.9,0.67,12.88,0.63,12.4996,0.63,12.5,
13.38,13.13,13.94,1087.8,0.66,12.88,0.617,12.4998,0.62,12.5,
13.38,13.13,13.94,1090,0.68,12.88,0.619,12.4998,0.62,12.5,
13.38,13.13,13.94,1088.9,0.67,12.88,0.608,12.4998,0.61,12.5,
13.38,13.13,14,1083.4,0.61,12.9,0.619,12.4996,0.62,12.5,
13.38,13.13,13.94,1093.4,0.72,12.88,0.608,12.4993,0.61,12.5,
13.38,13.13,13.94,1083.3,0.61,12.88,0.599,12.4987,0.6,12.5,
13.38,13.13,13.94,1090,0.68,12.88,0.608,12.4984,0.61,12.5,
13.38,13.13,13.94,1087.8,0.66,12.88,0.599,12.4992,0.6,12.5,
